Exame	 VALOR 
HEPATITE B - HBSAG	R$ 32,00
CEA - ANTÍGENO CARCINOEMBRIÔNICO	R$ 52,00
ÁCIDO ÚRICO	R$ 10,00
ANTI-ENDOMÍSIO - ANTICORPOS IGA	R$ 209,00
ANTI-ENDOMÍSIO - ANTICORPOS IGG	R$ 209,00
ANTI - ENDOMÍSIO - ANTICORPOS IGM	R$ 169,00
ÁCIDO FÓLICO	R$ 38,00
ANTI - GLIADINA - ANTICORPOS IGA	R$ 72,00
ANTI - GLIADINA - ANTICORPOS IGG	R$ 102,00
ANTI - GLIADINA - IGM	R$ 119,00
HEPATITE B - ANTI - HBE	R$ 40,00
HEPATITE C - ANTI - HCV	R$ 66,00
ALBUMINA	R$ 19,00
ALDOSTERONA	R$ 49,00
ALFAFETOPROTEÍNA	R$ 48,00
AMILASE TOTAL	R$ 12,00
ANDROSTENEDIONA	R$ 42,00
IGE ESP (E1) - EPITÉLIOS - CASPA DE GATO	R$ 40,00
APOLIPOPROTEÍNA A  - I	R$ 18,00
APOLIPOPROTEÍNA B	R$ 18,00
ANTI-TIREÓIDE	R$ 49,00
ANTI-TIREOGLOBULINA	R$ 52,00
ANTICORPOS ANTI TIROPEROXIDASE	R$ 69,00
BILIRRUBINAS TOTAL E FRAÇÕES	R$ 9,00
CÁLCIO	R$ 10,00
CA 125	R$ 42,00
CA 15-3	R$ 42,00
CA 19-9	R$ 42,00
CA 72-4	R$ 89,00
CÁLCIO IONIZADO	R$ 12,00
CALCITONINA	R$ 52,00
CHLAMYDIA TRACHOMATIS - ANTICORPOS IGM	R$ 99,00
CLORETO	R$ 10,00
COAGULOGRAMA	R$ 28,00
HDL - COLESTEROL	R$ 18,00
LDL - COLESTEROL	R$ 19,00
COLESTEROL TOTAL	R$ 8,00
VLDL - COLESTEROL	R$ 18,00
CREATINA QUINASE - CK	R$ 14,00
CREATININA	R$ 8,00
DEHIDROEPIANDROSTERONA - DHEA	R$ 44,00
DI-HIDROTESTOSTERONA - DHT SINÔNIMOS	R$ 66,00
ESTRADIOL	R$ 34,00
ESTRONA	R$ 60,00
ESTRIOL TOTAL  - E3	R$ 99,00
IGE PAINEL (EX1) - ANIMAIS	R$ 39,00
IGE ESP (F1) - ALIMENTOS - CLARA DE OVO	R$ 39,00
IGE ESP (F105) - ALIMENTOS - CHOCOLATE	R$ 39,00
IGE ESP (F13) - ALIMENTOS - AMENDOIM	R$ 39,00
IGE ESP (F14) - ALIMENTOS - SOJA	R$ 39,00
IGE ESP (F18) - ALIMENTOS - CASTANHA DO PARÁ	R$ 39,00
IGE ESP (F2) - ALIMENTOS - LEITE DE VACA	R$ 39,00
IGE ESP F207 - MARISCO	R$ 39,00
ANTICORPOS IMUNOGLOBULINA IGE ESPECIFICOS - COUVE DE BRUXELAS (RF217)	R$ 149,00
IGE ESP (F232) - ALIMENTOS - OVO ALBUMINA	R$ 39,00
IGE ESP (F24) - ALIMENTOS - CAMARÃO	R$ 39,00
IGE ESP (F245) - ALIMENTOS - OVO	R$ 39,00
FATOR II (PROTROMBINA) E FATOR V (LEIDEN) PARA TROMBOFILIAS	R$ 369,00
COMBO FATOR II (PROTROMBINA) + FATOR V (LEIDEN) + PAPILOMAVÍRUS HUMANO (HPV) ALTO RISCO	R$ 799,00
IGE ESP (F26) - ALIMENTOS - CARNE DE PORCO	R$ 39,00
ANTICORPOS IMUNOGLOBULINA IGE ESPECIFICOS, F266 - CASCA DE NOZ-MOSCADA	R$ 239,00
IGE ESP (F27) - ALIMENTOS - CARNE DE BOI	R$ 39,00
IGE ESP (F287) - ALIMENTOS - FEIJÃO VERMELHO	R$ 39,00
IGE ESP (F3) - ALIMENTOS - PEIXE - BACALHAU	R$ 39,00
ANTICORPOS IMUNOGLOBULINA IGE ESPECIFICOS - F320 LAGOSTIM	R$ 349,00
